Invoice No,PO No,Invoice Date,Supplier,Supplier Location,Department,Buyer,Item Code,Product Description,Unit,Quantity,Unit Price,Extended Amount,Discount Amount,Freight Amount,Tax Amount,Net Amount,Currency,Payment Terms
BILL-202509-79519,PO-911843,9/1/2025,Imperial Dade ,"PA, USA",Bakery,P. Wilson,GLOVE-M,Nitrile Gloves Medium (pack size varied),Case,30,41.68,1250.4,0.0,0.0,61.08,1311.48,USD,Net 7
INV-202508-32051,PO-716464,8/16/2025,Imperial Dade Inc,"NC, USA",Bakery,R. Smith,ONION-YEL,Onions Yellow / chilled,lb,210.37,1.03,216.68,0.0,4.63,1.12,222.43,USD,Net 15
BILL-202508-97269,PO-441611,08/21/2025,GORDON FOOD SERVICE,"CA, USA",Kitchen,M. Carter,ONION-YEL,Onions Yellow / chilled,lb,156.62,0.93,145.66,0.0,0.0,5.21,150.87,USD,Net 7
AP-202502-62404,,2/12/2025,Performance FS,"OH, USA",Bar,J. Brown,CREAM-HVY,Heavy Cream   ,QT,8.55,3.54,30.27,0.0,0.0,0.74,31.01,USD,Due on Receipt
AP-202503-92332,PO-117103,2025-03-23,PFG Customized,"CA, USA",Banquet,P. Wilson,MOZZ-WM,Mozzarella Whole Milk chef's line,LBS,472.02,3.98,1878.64,0.0,0.0,34.93,1913.57,USD,Due on Receipt
INV-202510-63746,PO-611994,10/10/2025,IMPERIAL DADE,"AZ, USA",Bakery,J. Brown,RICE-LG,Long Grain Rice,BG,-16.0,18.16,-290.56,0.0,0.0,22.82,-267.74,USD,Net 7
AP-202508-43357,PO-652652,2025-08-12,FRESHPOINT PRODUCE,"GA, USA",Kitchen,A. Johnson,NAPKIN-DN,Napkins Dinner,cs,30,21.56,646.8,0.0,5.94,51.74,704.48,USD,Net 7
AP-202507-31100,PO-700874,2025-07-11,BALDOR SPECIALTY FOODS,"OH, USA",Cafe,J. Brown,MILK-WHL,Milk Whole - fresh,GAL,34.53,2.94,101.52,0.0,0.0,4.45,105.97,USD,Net 30
AP-202512-97560,PO-123963,12/18/2025,IMPERIAL DADE,"CO, USA",Bakery,R. Smith,MOZZ-WM,Mozzarella Whole Milk - fresh,Lb,-173.91,5.2,-904.33,0.0,0.0,70.14,-834.19,USD,Net 30
INV-202512-40433,PO-559443,12/09/2025,IMPERIAL DADE,"CA, USA",Kitchen,R. Smith,OIL-OLV,Olive Oil Extra Virgin,GAL,5.16,29.32,151.29,0.0,0.0,9.46,160.75,USD,Net 30
INV-202505-35299,PO-822057,2025-05-23,Baldor Specialty Foods ,"CO, USA",Kitchen,L. Davis,SUGAR-GR,SUGAR GRANULATED,BG,15,25.76,386.4,7.67,0.0,18.82,397.55,USD,Net 7
AP-202510-46652,,10/3/2025,Imperial Dade ,"NC, USA",Bakery,L. Davis,POT-RUS,Potatoes Russet  ,lb,259.64,0.72,186.94,0.0,0.0,9.93,196.87,USD,Net 30
BILL-202505-54440,PO-279602,2025-05-07,PFG,"IL, USA",Cafe,R. Smith,POT-RUS,Potatoes Russet  ,lb,376.43,0.37,139.28,0.0,0.0,6.29,145.57,USD,Net 15
INV-202508-94645,PO-770833,2025-08-15,PFG Cust Dist,"NC, USA",Banquet,A. Johnson,CHED-SHD,Cheddar Cheese Shredded / chilled,LBS,129.46,4.85,627.88,0.0,0.0,29.35,657.23,USD,Due on Receipt
INV-202512-93004,PO-840246,12/15/2025,Baldor Specialty Foods ,"CA, USA",Banquet,M. Carter,CHED-SHD,Cheddar Cheese Shredded,LBS,66.1,5.4,356.94,0.0,6.99,11.14,375.07,USD,Net 15
INV-202509-52898,PO-661181,2025-09-13,SHAMROCK FOODS CO,"CA, USA",Bakery,J. Brown,LETT-ROM,Lettuce Romaine (pack size varied),cs,20,27.14,542.8,0.0,0.0,41.37,584.17,USD,Net 7
INV-202508-14751,PO-327924,08/23/2025,Local Farm & Garden,"FL, USA",Bar,L. Davis,SUGAR-GR,Sugar Granulated,BAG,9,29.46,265.14,0.0,0.0,5.42,270.56,USD,Due on Receipt
INV-202509-82845,PO-333794,9/12/2025,LOCAL FARM AND GARDEN LLC,"AZ, USA",Bakery,A. Johnson,LETT-ROM,Lettuce Romaine,CS,23,29.22,672.06,0.0,0.0,3.89,675.95,USD,Net 15
BILL-202506-78171,PO-641521,6/6/2025,US FOODS ATLANTA,"CA, USA",Bakery,R. Smith,CHK-BRST-01,Chicken Breast Boneless Skinless  ,LBS,258.5,3.13,809.11,0.0,0.0,45.46,854.57,USD,Due on Receipt
BILL-202511-96957,PO-463828,2025-11-13,,"OH, USA",Bakery,P. Wilson,SUGAR-GR,,BAG,31,0.0,562.96,0.0,0.0,0.0,562.96,USD,Net 15
AP-202510-97686,PO-751621,2025-10-24,Imperial Dade Inc,"NC, USA",Restaurant,P. Wilson,FRIES-3/8,FRENCH FRIES 3/8 STRAIGHT CUT CHEF'S LINE,CASE,5,25.36,126.8,0.0,0.0,8.12,134.92,USD,Net 30
BILL-202509-79930,PO-394750,09/12/2025,Imperial Dade Inc,"AZ, USA",Banquet,L. Davis,BROC-FRZ,Broccoli Florets Frozen - fresh,CS,5,20.0,100.0,13.19,0.0,2.74,89.55,USD,Net 7
BILL-202503-67281,PO-358971,3/7/2025,Performance FS,"OH, USA",Restaurant,J. Brown,MILK-WHL,Milk Whole chef's line,GL,11.37,3.9,44.34,0.0,11.55,2.61,58.5,USD,Net 7
AP-202511-56726,PO-538317,11/20/2025,Sysco North Florida ,"CA, USA",Cafe,M. Carter,BROC-FRZ,Broccoli Florets Frozen   ,cs,44,19.14,842.16,0.0,0.0,20.25,862.41,USD,Due on Receipt
INV-202511-65482,,11/13/2025,Sysco N. Florida,"PA, USA",Bakery,J. Brown,RICE-LG,Long Grain Rice / chilled,BAG,16,27.42,438.72,0.0,0.0,7.92,446.64,USD,Net 7
BILL-202510-77082,PO-827540,10/10/2025,PFG,"TX, USA",Cafe,J. Brown,CREAM-HVY,Heavy Cream   ,QTR,66.06,3.11,205.45,0.0,0.0,10.99,216.44,USD,Due on Receipt
BILL-202512-75148,PO-663245,12/21/2025,PFG CUSTOMIZED DIST,"CA, USA",Banquet,R. Smith,POT-RUS,Potatoes Russet  ,Lb,89.14,0.72,64.18,0.0,0.0,2.56,66.74,USD,Due on Receipt
BILL-202504-72638,PO-316629,2025-04-26,PFG CUSTOMIZED DIST,"CO, USA",Kitchen,L. Davis,BRRY-MIX,Mixed Berries Frozen - fresh,CASE,32,22.84,730.88,0.0,0.0,2.08,732.96,USD,Due on Receipt
BILL-202506-34526,PO-105359,6/27/2025,US FOODS ATL DIV,"CA, USA",Restaurant,R. Smith,CHED-SHD,Cheddar Cheese Shredded - fresh,LB,388.48,5.06,1965.71,0.0,0.0,40.55,2006.26,USD,Net 30
BILL-202501-21453,PO-869552,1/8/2025,Shamrock Foods Co.,"OH, USA",Banquet,A. Johnson,RICE-LG,Long Grain Rice  ,BG,32,26.99,863.68,0.0,0.0,53.64,917.32,USD,Net 7
INV-202511-80834,PO-864556,2025-11-07,,"CA, USA",Bar,A. Johnson,BROC-FRZ,,Case,31,0.0,574.74,0.0,0.0,0.0,574.74,USD,Net 7
AP-202509-63768,PO-277183,9/30/2025,Fresh Point Produce,"AZ, USA",Housekeeping,L. Davis,FLOUR-AP,Flour All Purpose,BG,27,16.69,450.63,0.0,0.0,6.86,457.49,USD,Net 30
BILL-202506-98211,PO-714035,06/23/2025,GORDON FOOD SERVICE,"CO, USA",Bar,R. Smith,BEEF-8020,Ground Beef 80/20 chef's line,lb,187.42,4.96,929.6,0.0,0.0,64.67,994.27,USD,Net 15
AP-202506-56610,PO-612369,2025-06-21,Imperial Dade Inc,"WA, USA",Restaurant,L. Davis,MOZZ-WM,Mozzarella Whole Milk / chilled,Lb,287.11,4.08,1171.41,0.0,0.0,46.21,1217.62,USD,Net 7
BILL-202507-38149,PO-558560,7/14/2025,FreshPoint,"NY, USA",Banquet,P. Wilson,BROC-FRZ,Broccoli Florets Frozen,cs,32,17.63,564.16,0.0,0.0,28.34,592.5,USD,Net 7
BILL-202508-40824,PO-499665,08/14/2025,Local Farm & Garden,"NY, USA",Bakery,R. Smith,MOZZ-WM,Mozzarella Whole Milk - fresh,LB,5.1,4.25,21.67,0.0,0.0,1.35,23.02,USD,Net 30
INV-202505-39936,PO-274271,05/02/2025,FreshPoint,"NC, USA",Cafe,J. Brown,ONION-YEL,ONIONS YELLOW   ,LB,177.29,0.81,143.6,0.0,0.0,5.04,148.64,USD,Net 7
INV-202502-59867,PO-239819,02/12/2025,GORDON FOOD SERVICE,"FL, USA",Kitchen,P. Wilson,COFF-HSE,Coffee Beans House Blend   ,Lb,68.94,10.79,743.86,0.0,0.0,6.6,750.46,USD,Net 30
BILL-202507-69065,PO-423487,7/15/2025,Local Farm & Garden,"PA, USA",Cafe,L. Davis,OIL-OLV,Olive Oil Extra Virgin   ,gal,69.81,31.63,2208.09,0.0,0.0,32.55,2240.64,USD,Net 30
BILL-202510-14935,PO-293447,10/23/2025,BALDOR SPECIALTY FOODS,"WA, USA",Bar,A. Johnson,COFF-HSE,Coffee Beans House Blend / chilled,LB,108.28,6.76,731.97,0.0,0.0,51.18,783.15,USD,Due on Receipt
INV-202506-89898,PO-988199,2025-06-07,US Foods - Atlanta,"NY, USA",Bar,M. Carter,MILK-WHL,Milk Whole,gal,64.5,2.82,181.89,0.0,6.81,5.43,194.13,USD,Due on Receipt
AP-202505-66086,PO-156667,05/13/2025,Performance FS,"NC, USA",Banquet,L. Davis,TOM-ROMA,Tomatoes Roma,CASE,4,28.32,113.28,0.0,0.0,3.44,116.72,USD,Net 7
INV-202512-28303,PO-456364,12/7/2025,FRESHPOINT PRODUCE,"CO, USA",Bakery,J. Brown,OJ-100,Orange Juice 100%  ,gal,2.31,7.26,16.77,0.0,8.02,0.5,25.29,USD,Net 30
BILL-202510-13993,PO-231284,10/12/2025,Fresh Point Produce,"NY, USA",Bakery,P. Wilson,OJ-100,Orange Juice 100%  ,gal,55.87,5.8,324.05,0.0,0.0,4.53,328.58,USD,Net 15
INV-202504-22261,PO-891556,4/29/2025,Fresh Point Produce,"FL, USA",Cafe,J. Brown,CHK-BRST-01,Chicken Breast Boneless Skinless,lb,307.43,3.87,1189.75,0.0,0.0,85.11,1274.86,USD,Due on Receipt
INV-202501-69207,PO-485079,2025-01-20,SYSCO NORTH FLORIDA,"WA, USA",Kitchen,J. Brown,OIL-OLV,Olive Oil Extra Virgin   ,gal,36.31,18.9,686.26,0.0,0.0,37.7,723.96,USD,Net 15
AP-202503-53891,PO-742898,2025-03-31,Baldor,"PA, USA",Restaurant,R. Smith,SALM-ATL,Salmon Fillet Atlantic   ,Lb,379.01,10.02,3797.68,0.0,0.0,214.9,4012.58,USD,Net 30
INV-202505-49132,PO-701950,05/21/2025,Imperial Dade ,"CA, USA",Bar,L. Davis,NAPKIN-DN,Napkins Dinner,CS,21,23.85,500.85,0.0,0.0,31.83,532.68,USD,Net 7
AP-202505-31311,PO-701210,05/24/2025,Shamrock Foods,"PA, USA",Bar,J. Brown,FRIES-3/8,French Fries 3/8 Straight Cut   ,CASE,4,25.55,102.2,0.0,0.0,4.99,107.19,USD,Net 15
BILL-202501-40019,PO-285096,1/9/2025,SYSCO NFL,"AZ, USA",Bar,L. Davis,BRRY-MIX,Mixed Berries Frozen,cs,16,28.16,450.56,0.0,0.0,10.51,461.07,USD,Net 7
AP-202512-59188,PO-299555,12/23/2025,GFS,"IL, USA",Bar,J. Brown,BACON-14,Bacon Sliced 14/18 ct chef's line,lb,31.02,4.77,147.97,0.0,0.0,7.62,155.59,USD,Net 30
BILL-202507-74999,PO-106214,2025-07-15,BALDOR SPECIALTY FOODS,"AZ, USA",Restaurant,L. Davis,SALM-ATL,Salmon Fillet Atlantic - fresh,Lb,219.68,11.91,2616.39,6.2,0.0,26.22,2636.41,USD,Due on Receipt
INV-202510-70678,PO-583109,10/18/2025,US Foods - Atlanta,"OH, USA",Cafe,A. Johnson,BACON-14,BACON SLICED 14/18 CT,LBS,124.39,4.23,526.17,0.0,7.3,21.51,554.98,USD,Net 30
AP-202508-61862,PO-556988,8/14/2025,PFG,"GA, USA",Cafe,A. Johnson,MOZZ-WM,Mozzarella Whole Milk  ,LB,433.36,3.47,1503.76,0.0,5.97,100.88,1610.61,USD,Net 15
AP-202505-34223,PO-371512,5/2/2025,PFG Customized,"NC, USA",Cafe,R. Smith,BACON-14,Bacon Sliced 14/18 ct,lb,463.87,5.17,2398.21,0.0,0.0,76.91,2475.12,USD,Due on Receipt
AP-202507-75100,PO-911435,7/10/2025,Imperial Dade Inc,"NC, USA",Cafe,R. Smith,FRIES-3/8,French Fries 3/8 Straight Cut   ,cs,3,26.47,79.41,0.0,0.0,3.04,82.45,USD,Due on Receipt
INV-202511-84438,PO-664216,11/25/2025,US Foods - Atlanta,"AZ, USA",Banquet,P. Wilson,TRASH-55,Trash Bags 55 Gallon - fresh,CASE,12,45.93,551.16,0.0,0.0,18.6,569.76,USD,Due on Receipt
INV-202512-28681,PO-215655,2025-12-08,LOCAL FARM AND GARDEN LLC,"NY, USA",Housekeeping,P. Wilson,BEEF-8020,Ground Beef 80/20  ,LBS,316.57,4.5,1424.57,0.0,0.0,65.84,1490.41,USD,Due on Receipt
AP-202506-55366,PO-563719,06/10/2025,PERFORMANCE FOODSERVICE,"CA, USA",Banquet,R. Smith,TOM-ROMA,Tomatoes Roma chef's line,CS,1,26.11,26.11,0.0,0.0,1.42,27.53,USD,Net 7
INV-202512-17968,PO-365519,2025-12-10,FRESHPOINT PRODUCE,"OH, USA",Banquet,A. Johnson,AVO-HASS,Avocados Hass (pack size varied),CS,16,29.86,477.76,0.0,0.0,35.03,512.79,USD,Net 7
AP-202503-11553,,03/31/2025,Imperial Dade Inc,"OH, USA",Cafe,R. Smith,SALM-ATL,Salmon Fillet Atlantic (pack size varied),lb,32.83,10.56,346.68,0.0,0.0,0.32,347.0,USD,Net 15
INV-202507-66261,PO-794670,07/16/2025,Shamrock Foods,"AZ, USA",Cafe,A. Johnson,MILK-WHL,Milk Whole   ,GAL,41.98,3.81,159.94,0.0,0.0,9.85,169.79,USD,Due on Receipt
INV-202507-70761,PO-841461,07/19/2025,Local Farm + Garden,"NY, USA",Housekeeping,A. Johnson,MOZZ-WM,Mozzarella Whole Milk / chilled,LB,296.94,3.29,976.93,0.0,0.0,51.72,1028.65,USD,Net 15
BILL-202506-53047,PO-751090,2025-06-07,FRESHPOINT PRODUCE,"OH, USA",Banquet,L. Davis,CHED-SHD,CHEDDAR CHEESE SHREDDED   ,lb,361.97,3.55,1284.99,0.0,0.0,66.83,1351.82,USD,Net 7
AP-202501-58540,PO-502924,1/18/2025,BEN E. KEITH FOODS,"CO, USA",Cafe,A. Johnson,SALM-ATL,Salmon Fillet Atlantic / chilled,LB,86.72,9.0,780.48,0.0,0.0,30.02,810.5,USD,Net 7
INV-202509-47727,PO-946408,09/20/2025,Fresh Point Produce,"FL, USA",Bakery,L. Davis,RICE-LG,Long Grain Rice - fresh,BAG,27,21.05,568.35,0.0,0.0,3.53,571.88,USD,Net 15
INV-202512-26251,,12/10/2025,Gordon Food Svc,"CO, USA",Restaurant,P. Wilson,CHED-SHD,CHEDDAR CHEESE SHREDDED   ,Lb,273.44,5.01,1369.93,0.0,0.0,7.34,1377.27,USD,Net 7
BILL-202509-84956,PO-119245,09/16/2025,PFG,"CO, USA",Kitchen,M. Carter,TOM-ROMA,Tomatoes Roma,cs,14,26.16,366.24,0.0,0.0,19.67,385.91,USD,Net 15
AP-202502-75253,PO-873563,2025-02-09,SYSCO NFL,"WA, USA",Housekeeping,A. Johnson,CREAM-HVY,Heavy Cream,QTR,40.83,3.44,140.46,0.0,0.0,0.69,141.15,USD,Net 15
INV-202510-37714,PO-768995,2025-10-12,Performance FS,"OH, USA",Bar,R. Smith,OJ-100,Orange Juice 100%,gal,41.32,6.69,276.43,0.0,0.0,6.8,283.23,USD,Net 30
INV-202501-86135,,2025-01-03,IMPERIAL DADE,"FL, USA",Housekeeping,A. Johnson,TOM-ROMA,Tomatoes Roma,CASE,38,21.48,816.24,0.0,4.0,22.74,842.98,USD,Net 30
AP-202509-26029,PO-386659,9/2/2025,Baldor,"GA, USA",Bakery,M. Carter,MILK-WHL,Milk Whole,gal,62.85,3.71,233.17,0.0,0.0,17.44,250.61,USD,Due on Receipt
INV-202509-18129,,9/20/2025,IMPERIAL DADE,"FL, USA",Bakery,A. Johnson,BROC-FRZ,Broccoli Florets Frozen (pack size varied),cs,30,18.5,555.0,0.0,0.0,22.91,577.91,USD,Net 30
AP-202507-80532,PO-426608,07/30/2025,SHAMROCK FOODS CO,"OH, USA",Kitchen,P. Wilson,SALM-ATL,Salmon Fillet Atlantic,LBS,86.37,12.08,1043.35,0.0,0.0,71.1,1114.45,USD,Net 7
BILL-202510-35739,,10/11/2025,Fresh Point Produce,"CO, USA",Restaurant,P. Wilson,OJ-100,Orange Juice 100%,gal,69.23,6.87,475.61,0.0,0.0,34.39,510.0,USD,Net 7
BILL-202502-77837,,02/05/2025,RESTAURANT DEPOT,"GA, USA",Banquet,P. Wilson,NAPKIN-DN,Napkins Dinner  ,cs,18,24.24,436.32,0.0,5.52,17.47,459.31,USD,Net 15
INV-202504-89435,PO-500896,2025-04-23,Shamrock Foods,"NC, USA",Cafe,L. Davis,COFF-HSE,Coffee Beans House Blend - fresh,lb,58.31,8.52,496.8,0.0,0.0,27.68,524.48,USD,Net 7
INV-202504-77335,PO-479296,4/30/2025,,"NC, USA",Restaurant,M. Carter,BEEF-8020,,LB,113.33,0.0,600.65,0.0,0.0,0.0,600.65,USD,Net 15
BILL-202508-60001,,8/27/2025,FRESHPOINT PRODUCE,"WA, USA",Kitchen,A. Johnson,KETCHUP,Ketchup,CASE,25,24.0,600.0,0.0,1.41,13.56,614.97,USD,Net 7
INV-202505-76762,PO-857075,5/18/2025,SYSCO NFL,"FL, USA",Bar,R. Smith,TRASH-55,Trash Bags 55 Gallon chef's line,cs,1,46.35,46.35,0.0,0.0,2.63,48.98,USD,Net 15
BILL-202507-38810,PO-122034,07/21/2025,LOCAL FARM AND GARDEN LLC,"TX, USA",Housekeeping,A. Johnson,BEEF-8020,Ground Beef 80/20,LB,274.22,4.73,1297.06,0.85,0.0,55.4,1351.61,USD,Net 7
AP-202507-11012,PO-281323,07/25/2025,Imperial Dade ,"IL, USA",Bar,J. Brown,FLOUR-AP,Flour All Purpose   ,BG,45,19.56,880.2,0.0,0.0,32.59,912.79,USD,Net 7
INV-202512-74790,,12/23/2025,GORDON FOOD SERVICE,"AZ, USA",Housekeeping,L. Davis,TRASH-55,Trash Bags 55 Gallon,CASE,7,37.28,260.96,0.0,0.0,3.97,264.93,USD,Net 15
INV-202509-58122,PO-898331,9/8/2025,PFG,"TX, USA",Bar,J. Brown,BEEF-8020,Ground Beef 80/20 - fresh,lb,334.82,4.53,1516.73,0.0,0.0,69.97,1586.7,USD,Net 15
AP-202510-97903,PO-670583,2025-10-24,SYSCO NFL,"NC, USA",Bar,P. Wilson,FLOUR-AP, Flour All Purpose / chilled,Bag,3,23.71,71.13,0.0,9.02,1.72,81.87,USD,Net 7
AP-202507-96599,PO-286747,7/4/2025,Local Farm & Garden,"FL, USA",Kitchen,J. Brown,BRRY-MIX,Mixed Berries Frozen / chilled,cs,7,28.05,196.35,0.0,0.0,13.8,210.15,USD,Net 15
BILL-202504-31840,,4/19/2025,Ben E. Keith Foods ,"CA, USA",Kitchen,L. Davis,TRASH-55,Trash Bags 55 Gallon / chilled,Case,9,40.07,360.63,0.0,0.0,19.09,379.72,USD,Due on Receipt
AP-202501-36877,PO-570318,1/31/2025,Local Farm + Garden,"PA, USA",Bakery,R. Smith,BEEF-8020,Ground Beef 80/20 - fresh,Lb,294.0,3.6,1058.4,0.0,0.0,16.96,1075.36,USD,Net 30
BILL-202512-51401,PO-644700,12/10/2025,Shamrock Foods,"NY, USA",Bakery,L. Davis,BROC-FRZ,Broccoli Florets Frozen,cs,22,24.29,534.38,4.98,0.0,27.39,556.79,USD,Net 7
